requirement,name,lat,long,geometry
Elementary School,De springstok o.b.s,52.3561075505072,4.902459031427375,"{'type': 'Point', 'coordinates': (4.902459031427375, 52.3561075505072)}"
Elementary School,OBS De Burght,52.37835654244926,4.8905038833618155,"{'type': 'Point', 'coordinates': (4.8905038833618155, 52.37835654244926)}"
Elementary School,Theo Thijssenschool,52.37645998252339,4.881842797689609,"{'type': 'Point', 'coordinates': (4.881842797689609, 52.37645998252339)}"
Elementary School,Dr Rijk Kramerschool,52.37617812201321,4.875025797283547,"{'type': 'Point', 'coordinates': (4.875025797283547, 52.37617812201321)}"
Elementary School,Alan Türingschool,52.370798544748816,4.920787080774102,"{'type': 'Point', 'coordinates': (4.920787080774102, 52.370798544748816)}"
Elementary School,De Witte Olifant,52.370622378951865,4.904048538104651,"{'type': 'Point', 'coordinates': (4.904048538104651, 52.370622378951865)}"
Airport Terminal,Pyong Yang,52.354171,4.887278,"{'type': 'Point', 'coordinates': (4.887278, 52.354171)}"
Airport Lounge,Schiphol lounge,52.3534415373451,4.890860948294052,"{'type': 'Point', 'coordinates': (4.890860948294052, 52.3534415373451)}"
Bar,Freddy's Bar,52.367605,4.894083,"{'type': 'Point', 'coordinates': (4.894083, 52.367605)}"
BBQ Joint,Jack’s BBQ Shack,52.366074,4.88101,"{'type': 'Point', 'coordinates': (4.88101, 52.366074)}"
Salon / Barbershop,Cut Throat,52.37448598409153,4.89562311048386,"{'type': 'Point', 'coordinates': (4.89562311048386, 52.37448598409153)}"
Cocktail Bar,Rosalia's Menagerie,52.3716780431221,4.899174389497594,"{'type': 'Point', 'coordinates': (4.899174389497594, 52.3716780431221)}"
General Entertainment,Vondelpark Openluchttheater,52.35848450756102,4.870885583745919,"{'type': 'Point', 'coordinates': (4.870885583745919, 52.35848450756102)}"
Museum,House of Bols Cocktail & Genever Experience,52.359017301481664,4.881329892088809,"{'type': 'Point', 'coordinates': (4.881329892088809, 52.359017301481664)}"
Vegetarian / Vegan Restaurant,Vegan Junk Food Bar,52.35710688038956,4.8911839546897795,"{'type': 'Point', 'coordinates': (4.8911839546897795, 52.35710688038956)}"
Vegetarian / Vegan Restaurant,Oliver Green,52.35567029085555,4.907670021057129,"{'type': 'Point', 'coordinates': (4.907670021057129, 52.35567029085555)}"
Buffet,Spirit Amsterdam,52.367541990045126,4.92586768165687,"{'type': 'Point', 'coordinates': (4.92586768165687, 52.367541990045126)}"
Ramen Restaurant,Men Impossible,52.370672,4.88001,"{'type': 'Point', 'coordinates': (4.88001, 52.370672)}"
Vegetarian / Vegan Restaurant,EXKi,52.38012820199767,4.900088066696967,"{'type': 'Point', 'coordinates': (4.900088066696967, 52.38012820199767)}"
Juice Bar,The Cold Pressed Juicery,52.35799334499131,4.877864758504317,"{'type': 'Point', 'coordinates': (4.877864758504317, 52.35799334499131)}"
